repo;pull_requests_analyzed;difficulty_keywords_found
downthecrop/2009scape-mirror;0;0
p3t/spring-cursorpaging;50;44
Exlll/ConfigLib;10;0
codecentric/spring-boot-admin;50;7
RaphiMC/ImmediatelyFast;24;4
DoubleDee73/ultrastarCatalog;1;0
google/closure-compiler;50;7
corretto/corretto-17;50;5
codeforamerica/form-flow;50;10
keycloak/keycloak;50;7
Zoxcore/trifa_material;50;13
my-flow/importlist;50;21
vespa-engine/vespa;50;2
TwoNick/shoreline;0;0
SEMOSS/Semoss;50;4
jenkinsci/m2release-plugin;50;13
domino-osgi/domino-java;50;1
operaton/operaton;50;12
ihmcrobotics/ihmc-open-robotics-software;50;1
joinfaces/joinfaces-maven-jar-example;50;20
tsantalis/RefactoringMiner;50;1
remal-gradle-plugins/jacoco-to-cobertura;50;3
M66B/FairEmail;50;4
Syntea/xdef;5;3
civiform/civiform;50;34
DropSnorz/OwlPlug;50;11
googleapis/java-genai;50;2
jitterted/jitterticket-event-sourced;1;0
sagnikghoshcr7/LeetCode-Practice_Solutions;0;0
HL7/fhir-ig-publisher;50;1
CrossTheRoadElec/Phoenix6-Examples;50;1
nats-io/nats-java-vertx-client;43;11
find-xposed-magisk/LSPatch;0;0
hiero-ledger/hiero-mirror-node;50;16
gravitee-io/gravitee-api-management;50;5
BEAST2-Dev/BEASTLabs;1;0
TheNextLvl-net/tweaks;50;6
apache/parquet-java;50;19
TheAliceProject/alice3;50;1
TheNextLvl-net/characters;33;1
kihort-si/itmo;0;0
ojbc/main;50;45
FlorianMichael/DietrichEvents2;28;11
greenmail-mail-test/greenmail;50;8
0x3EF8/GitHell;0;0
xpinjection/test-driven-spring-boot;14;7
liferay/liferay-portal;50;0
ifspcbt-devspace/tickets-api;4;0
apache/avro;50;13
Vivecraft/VivecraftMod;50;20
