Lang1;Lang2;FullName;artifacts_analyzed;difficulty_keywords_found;difficulty_density;repo_has_difficulty;keywords_detected
Scheme;Prolog;udem-dlteam/ribbit;125;11;0.088;True;"nif; ffi; binding"
Scheme;Prolog;opencog/learn;37;4;0.1081;True;"nif; bridge; ffi; binding"
Scheme;Prolog;hackclub/OnBoard;1706;20;0.0117;True;"jpl; bridge; c node; nan; nif; ffi; truffle"
Scheme;Haskell;udem-dlteam/ribbit;125;11;0.088;True;"nif; ffi; binding"
Scheme;Haskell;unisonweb/unison;3241;467;0.1441;True;"nan; nif; type mismatch; failed to link; manual patch; idl; missing symbol; foreign function; wrapper; interop; manual fix; jsr; napi; external interface; bridge; dlopen; ffi bindings; corba; binding; ffi binding; ffi; stub"
Scheme;Haskell;Glow-Lang/glow;445;17;0.0382;True;"nan; nif; binding; ffi; stub; interoperability; interop"
Scheme;OCaml;udem-dlteam/ribbit;125;11;0.088;True;"nif; ffi; binding"
Scheme;C;cosmos72/schemesh;27;8;0.2963;True;"interop; ffi; nan; binding"
Scheme;C;cisco/ChezScheme;944;180;0.1907;True;"foreign function; dlopen; libffi; nan; nif; wrapper; binding; foreign interface; foreign function interface; idl; ffi; interoperability; interop; undefined symbol; cffi; undefined reference"
Scheme;C;XmacsLabs/mogan;1895;40;0.0211;True;"unresolved external; nan; nif; failed to link; binding; ctype; ffi; idl; missing symbol"
Scheme;C;yuriy-chumak/ol;65;18;0.2769;True;"dlsym; dlopen; nan; wrapper; binding; ffi; interop; idl"
Scheme;C;shirok/Gauche;1112;134;0.1205;True;"bridge; dlopen; nan; nif; wrapper; failed to link; binding; ctype; module binding; ffi; stub; undefined symbol; undefined reference"
Scheme;C;manuel-serrano/bigloo;133;13;0.0977;True;"nan; nif; type mismatch; wrapper; binding; stub; ffi; interoperability; interop"
Scheme;C;ktakashi/r6rs-pffi;31;15;0.4839;True;"nif; ffi wrapper; wrapper; foreign function interface; binding; ffi; foreign function"
Scheme;C;udem-dlteam/ribbit;125;11;0.088;True;"nif; ffi; binding"
Scheme;C;exercism/scheme-test-runner;67;4;0.0597;True;"ffi; nan; binding"
Scheme;C;pkgxdev/pantry;3758;113;0.0301;True;"nan; python-cffi; nif; jna; truffle; jni; linking error; libffi; wrapper; node-gyp; undefined reference; cbindgen; napi; graalvm; bridge; thrift; binding; grpc; bindgen; ffi; stub; swig; cffi"
Scheme;C;part-cw/lambdanative;456;74;0.1623;True;"linker error; interoperability; nan; nif; wrapper; binding; ctype; ffi; glue code; interop; idl; undefined symbol; jni; undefined reference"
Scheme;C;mighty-gerbils/gerbil;1232;101;0.082;True;"symbol conflict; foreign block; ffi bindings; nan; nif; ffi wrapper; wrapper; binding; ffi binding; ffi; stub; idl; undefined symbol; undefined reference"
Scheme;C;gambit/gambit;958;174;0.1816;True;"module not found; nan; nif; idl; symbol not found; missing symbol; undefined symbol; dlsym; libffi; wrapper; interop; undefined reference; linker error; napi; incompatible types; dlopen; unresolved external; binding; ctype; ffi; stub; swig"
Scheme;C;manuel-serrano/hop;110;11;0.1;True;"c node; nan; nif; binding; ffi; missing symbol"
Scheme;C;uim/uim;242;34;0.1405;True;"bridge; nan; nif; binding; ctype; ffi; idl; undefined symbol"
Scheme;C;Z572/gwwm;11;1;0.0909;True;dlopen
Scheme;Java;yuriy-chumak/ol;65;18;0.2769;True;"dlsym; dlopen; nan; wrapper; binding; ffi; interop; idl"
Scheme;Java;manuel-serrano/bigloo;133;13;0.0977;True;"nan; nif; type mismatch; wrapper; binding; stub; ffi; interoperability; interop"
Scheme;Java;udem-dlteam/ribbit;125;11;0.088;True;"nif; ffi; binding"
Scheme;Java;part-cw/lambdanative;456;74;0.1623;True;"linker error; interoperability; nan; nif; wrapper; binding; ctype; ffi; glue code; interop; idl; undefined symbol; jni; undefined reference"
Scheme;Java;softwarelanguageslab/maf;39;7;0.1795;True;"nif; ffi; nan; wrapper"
Scheme;Java;gambit/gambit;958;174;0.1816;True;"module not found; nan; nif; idl; symbol not found; missing symbol; undefined symbol; dlsym; libffi; wrapper; interop; undefined reference; linker error; napi; incompatible types; dlopen; unresolved external; binding; ctype; ffi; stub; swig"
Scheme;Java;manuel-serrano/hop;110;11;0.1;True;"c node; nan; nif; binding; ffi; missing symbol"
Prolog;Haskell;smucclaw/l4-ide;514;29;0.0564;True;"napi; nan; nif; wrapper; binding; stub; ffi"
Prolog;OCaml;LPCIC/elpi;344;52;0.1512;True;"nan; nif; wrapper; binding; ctype; ffi; glue code"
Prolog;C;rug-compling/Alpino;15;1;0.0667;True;ffi
Prolog;C;SWI-Prolog/packages-semweb;118;6;0.0508;True;"idl; wrapper; ffi; binding"
Prolog;C;trueagi-io/metta-wam;296;36;0.1216;True;"libffi; nif; wrapper; binding; ffi; manual config; idl"
Prolog;C;SWI-Prolog/packages-pcre;37;2;0.0541;True;"ffi; binding"
Prolog;C;SWI-Prolog/contrib-protobufs;23;8;0.3478;True;"interoperability; nif; interop; ffi"
Prolog;C;andrealani/COOLFluiD;32;3;0.0938;True;"ffi; dlopen"
Prolog;C;SWI-Prolog/plweb;36;1;0.0278;True;binding
Prolog;C;hackclub/OnBoard;1706;20;0.0117;True;"jpl; bridge; c node; nan; nif; ffi; truffle"
Prolog;C;SWI-Prolog/packages-http;170;19;0.1118;True;"nan; foreign predicate; nif; wrapper; binding; ctype; ffi; idl"
Prolog;C;Seeker04/plwm;99;9;0.0909;True;"nif; binding; language binding; ffi; interoperability; interop"
Haskell;OCaml;dfinity/motoko;4369;888;0.2033;True;"c node; nan; nif; type mismatch; module binding; idl; jna; undefined symbol; dlsym; wrapper; language binding; interop; linker error; manual fix; cross-language; rust ffi; cbindgen; interoperability; jsr; napi; bridge; incompatible types; ffi bindings; dlopen; graalvm; python bindings; thrift; binding; ctype; grpc; bindgen; ffi binding; ffi; stub; language bindings; cffi"
Haskell;OCaml;anoma/juvix;1623;122;0.0752;True;"bridge; c node; nan; nif; wrapper; type mismatch; foreign function interface; binding; grpc; ctype; ffi; manual adjustment; undefined identifier; interop; foreign function"
Haskell;C;simplex-chat/simplexmq;1532;36;0.0235;True;"bridge; nan; libffi; nif; wrapper; binding; ffi; idl"
Haskell;C;augustss/MicroHs;192;27;0.1406;True;"module not found; nif; wrapper; binding; ffi; foreign import"
Haskell;C;IntersectMBO/lsm-tree;744;49;0.0659;True;"napi; nan; nif; wrapper; type mismatch; ffi; stub; integration module; idl"
Haskell;C;ethereum/hevm;753;71;0.0943;True;"linking error; nan; nif; wrapper; binding; ctype; ffi; manual config; foreign function call; missing symbol; foreign function"
Haskell;C;ucsd-progsys/liquidhaskell;1777;192;0.108;True;"linker error; symbol not found; nan; libffi; nif; wrapper; type mismatch; binding; ctype; ffi; interop; idl; missing symbol; undefined symbol"
Haskell;C;IntersectMBO/cardano-ledger;3690;246;0.0667;True;"bridge; ffi bindings; nan; nif; binary incompatibility; wrapper; type mismatch; binding; ffi binding; ffi; stub; jsr; idl"
Haskell;C;anoma/juvix;1623;122;0.0752;True;"bridge; c node; nan; nif; wrapper; type mismatch; foreign function interface; binding; grpc; ctype; ffi; manual adjustment; undefined identifier; interop; foreign function"
Haskell;C;wireapp/wire-server;4403;318;0.0722;True;"linker error; napi; external interface; bridge; nan; nif; wrapper; binding; ctype; grpc; rust ffi; ffi; stub; idl; integration failed; bridge module"
Haskell;C;IntersectMBO/cardano-node;4373;344;0.0787;True;"jpl; interoperability; bridge; c node; nan; nif; wrapper; binding; grpc; intermediate wrapper; ffi; stub; manual config; interop; idl"
Haskell;C;GaloisInc/macaw;499;54;0.1082;True;"nan; nif; wrapper; binding; stub; ffi"
Haskell;C;GaloisInc/saw-script;1578;205;0.1299;True;"linker error; linking error; bridge; nan; python bindings; nif; wrapper; type mismatch; binding; ctype; ffi; stub; interoperability; interop; foreign function"
Haskell;C;GaloisInc/grease;196;40;0.2041;True;"linker error; nan; nif; wrapper; type mismatch; ctype; stub; ffi; undefined reference"
Haskell;C;cardano-scaling/hydra;1734;97;0.0559;True;"linking error; napi; interoperability; nan; nif; wrapper; binding; grpc; ffi; stub; manual config; interop; idl"
Haskell;C;vekatze/neut;316;14;0.0443;True;"nif; type mismatch; undefined symbol; ffi; foreign function"
Haskell;C;facebookincubator/hsthrift;154;105;0.6818;True;"linker error; bridge; dlsym; nan; nif; thrift; binding; bindgen; cbindgen; stub; ffi; interop layer; interop; missing symbol; undefined symbol; undefined reference"
E;Erlang;happi/theBeamBook;198;1;0.0051;True;nif
OCaml;C;ocaml/opam;3519;226;0.0642;True;"nan; nif; idl; missing symbol; undefined symbol; dllimport; libffi; wrapper; interop; undefined reference; manual fix; linker error; interoperability; bridge; binding; ctype; grpc; stub; ffi; integration problem; cannot resolve symbol"
OCaml;C;ocaml-flambda/flambda-backend;3766;418;0.111;True;"linker error; incompatible types; nan; signature mismatch; nif; wrapper; type mismatch; binding; ctype; module binding; ffi; stub; glue code; interop; idl; missing symbol; undefined symbol; undefined reference"
OCaml;C;dboris/camlkit;12;13;1.0833;True;"wrapper; binding; ctype; ffi; manual override; idl"
