FullName,Lang1,Lang2
curry-language/curry2go,Prolog,Curry
curry-language/kics2,Prolog,Curry
cau-placc/pakcs,Prolog,Curry
saetre/busstuc,Prolog,E
shihyu/MyTool,Prolog,E
yakazimir/Code-Datasets,Prolog,E
saetre/busstuc,Prolog,Java
rug-compling/Alpino,Prolog,Java
trueagi-io/metta-wam,Prolog,Java
robert-david/shacl-repairs,Prolog,Java
curry-language/curry2go,Curry,Haskell
curry-language/kics2,Curry,Haskell
CloudI/CloudI,Haskell,Erlang
YoshikuniJujo/test_haskell,Haskell,Erlang
erszcz/learning,Haskell,Erlang
GaloisInc/crucible,Haskell,Java
GaloisInc/saw-script,Haskell,Java
iharh/notes,Haskell,Java
digital-asset/cn-quickstart,Haskell,Java
shihyu/MyTool,E,C
coding-blocks-archives/Launchpad17-Fasttrack,E,C
dsidavis/RCInterface,E,C
ZZMarquis/nist_sts,E,C
ljepson74/svsc,E,C
universal-ctags/ctags,E,C
tpu01yzx/AI_Distinguisher,E,C
coding-blocks-archives/Algo17_Autumn_Pitampura,E,C
gzc9047/cpp_non_virtual_mock,E,C
coding-blocks-archives/Launchpad_9June,E,C
sfelixwu/ee1520,E,C
ChrisYangHFNU/Codes,E,C
shihyu/MyTool,E,Java
tpu01yzx/AI_Distinguisher,E,Java
stamfest/randomtests,E,Java
coding-blocks-archives/Algo17_Autumn_Pitampura,E,Java
facebook/infer,OCaml,Erlang
CloudI/CloudI,OCaml,Erlang
erszcz/learning,OCaml,Erlang
gozeon/cheatsheets,Erlang,C
happi/theBeamBook,Erlang,C
mbj4668/yanger,Erlang,C
CloudI/CloudI,Erlang,C
openworkload/swm-core,Erlang,C
ArweaveTeam/arweave,Erlang,C
apache/couchdb,Erlang,C
erszcz/learning,Erlang,C
rxrbln/t2sde,Erlang,C
universal-ctags/ctags,Erlang,C
grisp/grisp,Erlang,C
vernemq/vernemq,Erlang,C
emqx/emqx,Erlang,C
couchbase/couchdb,Erlang,C
sigscale/ocs,Erlang,C
processone/xmpp,Erlang,C
Olivier-Boudeville/Ceylan-Myriad,Erlang,C
atomvm/AtomVM,Erlang,C
erlang/otp,Erlang,C
Pevensie/jargon,Erlang,C
